Collection Title,"Charles S. Peirce papers, 1787-1951"
Collection Dates,1787-1951 (inclusive)
Collection Creator,"Peirce, Charles S. (Charles Sanders), 1839-1914"
Call Number,MS Am 1632
EAD ID,hou02614
Database Number,Component Title,Component Date,Start Year,End Year,Component Identifier,Container Info,Component Type,Component Creator,Digital Content Link,Access Note,Physical Description,Level 1,Level 2,Level 3,Level 4,Level 5
hou02614c00156,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Topics of Surfaces   : autograph manuscript, undated.",1787-1951,1787,1951,"MS Am 1632, (148)",Box 7,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00157,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Ch. 2. Topical Geometry   : autograph manuscript, undated.",1787-1951,1787,1951,"MS Am 1632, (149)",Box 7,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00158,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [Topical Geometry]   : autograph manuscript, undated.",1787-1951,1787,1951,"MS Am 1632, (150)",Box 7,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00159,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Topics. Chapter I. Singular Systems   : autograph manuscript, undated.",1787-1951,1787,1951,"MS Am 1632, (151)",Box 7,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00019,"Peirce, Charles S. (Charles Sanders), 1839-1914.  On the Logic of Quantity (Logic of Quantity)   : autograph manuscript, circa 1895",1787-1951,1787,1951,"MS Am 1632, (17)",Box 1,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00160,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Section 4. Of Topical Geometry   : autograph manuscript, undated.",1787-1951,1787,1951,"MS Am 1632, (152)",Box 7,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00161,"Peirce, Charles S. (Charles Sanders), 1839-1914.  On the Problem of Coloring a Map (4 Colors)   : autograph manuscript, undated.",1787-1951,1787,1951,"MS Am 1632, (153)",Box 7,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c02479,"Peirce, Charles S. (Charles Sanders), 1839-1914.  On the Problem of Coloring a Map (4 Colors)   : autograph manuscript",1787-1951,1787,1951,"MS Am 1632, (153s)",Box 7,Item,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00162,"Peirce, Charles S. (Charles Sanders), 1839-1914.  On the Problem of Map-Coloring and on Geometrical Topics, in General (MC, PMC, Map)   : autograph manuscript, 1899-1900",1787-1951,1787,1951,"MS Am 1632, (154)",Box 7,Unspecified,"","","",4 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00163,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Studies in map Coloring as Starting-point for Advance into Geomet-rical Topics   : autograph manuscript  notebook, circa 1897-1900",1787-1951,1787,1951,"MS Am 1632, (155)",Box 8,Unspecified,"","","",3 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00164,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Map Coloring Vol. IV   : autograph manuscript small  notebook, undated",1787-1951,1787,1951,"MS Am 1632, (156)",Box 8,Unspecified,"","","",2 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c02480,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Map Coloring Vol. IV   : autograph manuscript",1787-1951,1787,1951,"MS Am 1632, (156s)",Box 8,Item,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00165,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [Link Coloring]   : autograph manuscript, circa 1897-1900",1787-1951,1787,1951,"MS Am 1632, (157)",Box 8,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00166,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [Fragments on Map-Coloring]   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (158)",Box 8,Unspecified,"","","",2 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00167,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Notes on Listing   : autograph manuscript, circa 1897",1787-1951,1787,1951,"MS Am 1632, (159)",Box 8,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00020,"Peirce, Charles S. (Charles Sanders), 1839-1914.  (Logic of Quantity)   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (18)",Box 1,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c02481,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Notes on Listing   : autograph manuscript",1787-1951,1787,1951,"MS Am 1632, (159s)",Box 8,Item,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00168,"Peirce, Charles S. (Charles Sanders), 1839-1914.  A Study of Listing Numbers (Listing Numbers)   : autograph manuscript, February 3, 1897",1787-1951,1787,1951,"MS Am 1632, (160)",Box 8,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00169,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [Listing Numbers; The Census-Number; The Census Theorem]   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (161)",Box 8,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00170,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [Fragments on Listing Numbers and the Census-Number]   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (162)",Box 8,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00171,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [Topology; Real Curves; Astronomy; Archeology; Assorted Mathematical Notes]   : autograph manuscript  notebook, 1895 (p. 45 is dated July 1895)",1787-1951,1787,1951,"MS Am 1632, (163)",Box 8,Unspecified,"",http://nrs.harvard.edu/urn-3:FHCL.HOUGH:5110308,"",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00172,"Peirce, Charles S. (Charles Sanders), 1839-1914.  New Elements of Mathematics   : autograph manuscript, circa 1895",1787-1951,1787,1951,"MS Am 1632, (164)",Box 8,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00173,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Elements of Mathematics   : autograph manuscript, circa 1895",1787-1951,1787,1951,"MS Am 1632, (165)",Multiple Containers,Unspecified,"","","",34 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00174,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Elements of Mathematics   : autograph manuscript, circa 1895",1787-1951,1787,1951,"MS Am 1632, (166)",Box 9,Unspecified,"","","",11 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00175,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Practical Arithmetic   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (167)",Box 9,Unspecified,"","","",2 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00176,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Practical Arithmetic   : typescript (corrected), undated",1787-1951,1787,1951,"MS Am 1632, (168)",Box 9,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00021,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Logic of Quantity (Logic of Quantity)   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (19)",Box 1,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00177,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Factotal Augrim (A) (B)   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (169)",Box 9,Unspecified,"","","",3 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00178,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Rough List of Works Consulted for Arithmetic   : autograph manuscript, circa 1890-1891",1787-1951,1787,1951,"MS Am 1632, (170)",Box 9,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00179,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Charles S. Peirce's Small Inventions in Arithmetic and Logic   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (171)",Box 10,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00180,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Examples in Arithmetic   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (172)",Box 10,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00181,"Peirce, Charles S. (Charles Sanders), 1839-1914.  A System of Arithmetic   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (173)",Box 10,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00182,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Rule for Division   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (174)",Box 10,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
